Gene	# Mut	#	Freq
PDGFRB	1	1	0.50%
RPN1	1	1	0.50%
USP9X	1	1	0.50%
MAX	1	1	0.50%
BCORL1	1	1	0.50%
OBSCN	1	1	0.50%
U2AF2	1	1	0.50%
DAXX	1	1	0.50%
IKZF1	1	1	0.50%
CHD1	1	1	0.50%
EWSR1	1	1	0.50%
AK9	1	1	0.50%
BCL11A	1	1	0.50%
PTCH1	1	1	0.50%
MDM2	1	1	0.50%
ARID1A	1	1	0.50%
MDM4	1	1	0.50%
TRIM24	1	1	0.50%
WNK1	1	1	0.50%
LRP1B	1	1	0.50%
CIC	1	1	0.50%
FANCC	1	1	0.50%
JAK2	1	1	0.50%
JAK3	1	1	0.50%
ABCG4	1	1	0.50%
PTPN2	1	1	0.50%
PARP4	1	1	0.50%
FAT1	1	1	0.50%
HIST1H3D	1	1	0.50%
PIK3CB	1	1	0.50%
GLI1	1	1	0.50%
RBMX	1	1	0.50%
KIAA1109	1	1	0.50%
KDM2B	1	1	0.50%
ELMOD3	2	1	0.50%
ANKRD12	1	1	0.50%
CDC73	1	1	0.50%
PLEC	1	1	0.50%
DMD	1	1	0.50%
CAMTA1	1	1	0.50%
MGA	1	1	0.50%
NONO	1	1	0.50%
NOTCH1	1	1	0.50%
NOTCH2	1	1	0.50%
DNM2	1	1	0.50%
DNMT1	1	1	0.50%
KNL1	1	1	0.50%
MPL	1	1	0.50%
CUL3	1	1	0.50%
EZR	1	1	0.50%
MRE11	1	1	0.50%
TSHZ3	1	1	0.50%
FAT4	1	1	0.50%
FLT1	1	1	0.50%
RAP1GDS1	1	1	0.50%
SRSF2	1	1	0.50%
CRIPAK	1	1	0.50%
USP22	2	1	0.50%
AFF2	1	1	0.50%
SH2B3	1	1	0.50%
SYNE1	1	1	0.50%
NTRK3	1	1	0.50%
PCLO	1	1	0.50%
PARP2	1	1	0.50%
TUSC3	1	1	0.50%
KAT6A	1	1	0.50%
NUMA1	1	1	0.50%
WRN	1	1	0.50%
XIAP	2	1	0.50%
FBXO11	1	1	0.50%
CHST11	2	1	0.50%
POU5F1	1	1	0.50%
UPF1	1	1	0.50%
ARHGAP35	1	1	0.50%
FANCM	1	1	0.50%
TEK	1	1	0.50%
ADGRA2	1	1	0.50%
CREBBP	1	1	0.50%
SHQ1	1	1	0.50%
RIT1	1	1	0.50%
ESCO2	1	1	0.50%
MST1	1	1	0.50%
MST1R	1	1	0.50%
SNED1	1	1	0.50%
USP6	1	1	0.50%
LRIG3	1	1	0.50%
NCOR2	1	1	0.50%
PPP2R1B	2	1	0.50%
CHIC2	1	1	0.50%
SETD2	1	1	0.50%
KMT2D	1	1	0.50%
RSAD2	2	1	0.50%
HOOK3	1	1	0.50%
SF3B1	1	1	0.50%
BABAM1	1	1	0.50%
CSF3R	1	1	0.50%
CTCF	1	1	0.50%
MTOR	1	1	0.50%
DROSHA	1	1	0.50%
FANCI	1	1	0.50%
EPHA2	1	1	0.50%
ASXL3	1	1	0.50%
ARID2	1	1	0.50%
TCL1A	1	1	0.50%
TLR4	1	1	0.50%
PRKAA2	1	1	0.50%
CBX7	2	1	0.50%
LRP5	1	1	0.50%
CD70	1	1	0.50%
ZFHX3	1	1	0.50%
ELF4	1	1	0.50%
ASXL2	1	1	0.50%
PAX3	1	1	0.50%
ELN	1	1	0.50%
NUP93	1	1	0.50%
MAPK1	1	1	0.50%
KAT6B	1	1	0.50%
CDC42	1	1	0.50%
PRDM16	1	1	0.50%
EPHA10	1	1	0.50%
AFF4	1	1	0.50%
EPHA3	1	1	0.50%
HDAC2	1	1	0.50%
MYB	1	1	0.50%
AURKB	1	1	0.50%
EPHA8	1	1	0.50%
SOS1	1	1	0.50%
EPHB1	1	1	0.50%
